Y,X1,X2
9.2,6.8,225
11.7,6.3,180
15.8,6.4,190
8.6,6.2,180
23.2,6.9,205
27.4,6.4,225
9.3,6.3,185
16,6.8,235
4.7,6.9,235
12.5,6.7,210
20.1,6.9,245
9.1,6.9,245
8.1,6.3,185
8.6,6.1,185
20.3,6.2,180
25,6.8,220
19.2,6.5,194
3.3,7.6,225
11.2,6.3,210
10.5,7.1,240
10.1,6.8,225
7.2,7.3,263
13.6,6.4,210
9,6.8,235
24.6,7.2,230
12.6,6.4,190
5.6,6.6,220
8.7,6.8,210
7.7,6.1,180
24.1,6.5,235
11.7,6.4,185
7.7,6,175
9.6,6,192
7.2,7.3,263
12.3,6.1,180
8.9,6.7,240
13.6,6.4,210
11.2,5.8,160
2.8,6.9,230
3.2,7,245
9.4,7.3,228
11.9,5.9,155
15.4,6.2,200
7.4,6.8,235
18.9,7,235
7.9,5.9,105
12.2,6.1,180
11,5.7,185
2.8,7.1,245
11.8,5.8,180
17.1,7.4,240
11.6,6.8,225
5.8,6.8,215
8.3,7,230
